id,prova,área,tema,enunciado,a,b,c,d,gabarito,respostacerta,referência,comentários,imagem,incluir_na_prova
ea682545-9773-4853-9ec1-105a5a862d6f,TEOT 2024,Cirurgia do Quadril,Artroscopia de quadril,"Na artroscopia do quadril, o primeiro portal a ser realizado na técnica ""de dentro para fora"" (inside-out) é o",anterior.,anterolateral.,posterolateral.,anterior acessório.,B,anterolateral.,GERALDO MOTA,"Gabarito B. Na artroscopia do quadril (com tração), o portal de trabalho e visualização primário, estabelecido primeiro (seja pela técnica outside-in ou como referência para as demais), é quase sempre o portal Anterolateral. Ele fornece a visão padrão da articulação central. Os portais subsequentes (como o Anterior) são então criados (muitas vezes ""inside-out"", guiados pela visão do portal anterolateral) para triangulação.",,False
62590e3a-dddb-447d-8f7f-3d34b8676721,TEOT 2021,Ortopedia Pediátrica,Fraturas da coluna na criança,"Na avaliação radiográfica das lesões cervicais nas crianças, a linha espinolaminar de SWISCHUK é utilizada para avaliar",pseudo-luxação C2C3.,instabilidade rotatória atlanto-axial.,deslocamento anterior do odontoide.,deslocamento atlanto-occipital anterior.,A,pseudo-luxação C2C3.,TACHDIJAN'S,"Gabarito: A. A linha espinolaminar de Swischuk é um importante parâmetro radiográfico para avaliar a pseudo-luxação C2-C3 em crianças, uma condição fisiológica comum até os 8 anos de idade.  Essa linha, traçada na radiografia lateral da coluna cervical, conecta as espinhas cervicais de C1, C2 e C3. Na pseudo-luxação, a linha espinolaminar de C2 pode estar deslocada posteriormente em relação à C3 em até 4mm, simulando uma luxação verdadeira.  É crucial diferenciar essa variante normal das lesões traumáticas. As demais alternativas estão incorretas, pois a linha de Swischuk não é utilizada para avaliar instabilidade atlanto-axial, deslocamento do odontóide ou deslocamento atlanto-occipital.  Nesses casos, outros parâmetros radiográficos são mais relevantes, como o intervalo atlanto-dens e a relação de Powers.
",,False
5e7e55ba-3947-4190-a679-2fd46063cf60,TARO 2024,Ciência Básica,Ciência Básica,"Nas ponderações mais utilizadas de ressonância magnética, a água tem","alto sinal em T1, e alto sinal em T2.","alto sinal em T1, e baixo sinal em T2.","baixo sinal em T1, e alto sinal em T2.","baixo sinal em T1, e baixo sinal em T2.",C,"baixo sinal em T1, e alto sinal em T2.",GERALDO MOTA,"Gabarito correto: **C**. A água apresenta baixo sinal (hipointensa/escura) em T1 e alto sinal (hiperintensa/brilhante) em T2.  Isso se deve às propriedades magnéticas intrínsecas das moléculas de água e como elas interagem com os pulsos de radiofrequência aplicados durante a ressonância.  Em T1, a água demora mais para recuperar sua magnetização longitudinal, resultando em sinal baixo.  Já em T2, a água mantém sua magnetização transversal por mais tempo, levando ao sinal alto.  Lembrem-se que estruturas com alto conteúdo de água, como líquido articular, edema e cistos, também seguirão esse padrão. As demais alternativas invertem ou combinam erroneamente os sinais da água em T1 e T2.
",,False
a62d47f2-8d98-4da1-b5a3-ff58f05d1b99,TEOT 2025,Cirurgia do Quadril,Osteonecrose da cabeça femoral,"Na osteonecrose do quadril, as imagens de ressonância magnética a seguir demonstram o método de","FICAT, cuja soma dos ângulos tem valor preditivo quanto ao colapso subcondral.","FICAT, cuja soma dos ângulos não tem valor preditivo quanto ao colapso subcondral.","KERBOUL, cuja soma dos ângulos tem valor preditivo quanto ao colapso subcondral.","KERBOUL, cuja soma dos ângulos não tem valor preditivo quanto ao colapso subcondral.",C,"KERBOUL, cuja soma dos ângulos tem valor preditivo quanto ao colapso subcondral.",CAMPBELL'S,"Gabarito C. As imagens (RNM coronal e sagital) demonstram a medição do arco necrótico na superfície articular. Este método angular prognóstico foi descrito por Kerboul. A soma desses ângulos (Coronal + Sagital) tem um forte valor preditivo quanto ao risco de colapso subcondral: quanto maior o ângulo combinado (especialmente > 200-240$^{\circ}$), maior o risco de colapso. FICAT (A, B) é uma classificação baseada em raios-X, não em ângulos de RNM.",https://i.imgur.com/mAzDuoa.png,False
f6b2a313-152c-46a5-b759-0235e6dd5727,BANCO PRÓPRIO,Ciência Básica,Biomecânica do Ombro,"A medida do ""glenoid track"" na ressonância magnética equivale a",100% da largura da glenoide medida num corte coronal.,84% da largura da glenoide medida num corte sagital oblíquo.,100% da largura da glenoide medida num corte sagital oblíquo.,84% do comprimento da glenoide medido num corte sagital oblíquo.,B,84% da largura da glenoide medida num corte sagital oblíquo.,CAMPBELL'S,"O gabarito B está correto. O ""glenoid track"" representa a porcentagem da largura da glenoide que é coberta pela cabeça umeral em um corte sagital oblíquo, e o valor normal é considerado em torno de 83% a 84%.  Valores menores que esse indicam uma lateralização excessiva da cabeça umeral, predispondo a instabilidade.  A medida é feita no corte sagital oblíquo que acompanha o trajeto do tendão subescapular, representando a glenoide funcional. As outras alternativas estão incorretas, pois consideram 100% da largura ou o comprimento da glenoide, parâmetros que não refletem a congruência articular e a estabilidade dinâmica do ombro.
",,False
f8cb3a57-6952-454c-af53-3b31ddc86681,TARO 2025,Ortopedia Pediátrica,Fraturas da coluna na criança,A fratura da apófise posterior do corpo vertebral no esqueleto imaturo ocorre tipicamente em,recém-nascidos.,crianças entre 2 e 4 anos de idade.,crianças entre 5 e 9 anos de idade.,adolescentes.,D,adolescentes.,GERALDO MOTA,A resposta correta é a letra D. A fratura da apófise posterior do corpo vertebral também é chamada de fratura do limbo e ocorre tipicamente em adolescentes e adultos jovens.,,False
48c275f8-a7f0-4090-a18d-7c392a70b385,TARO 2023,Ortopedia Pediátrica,Fraturas dos ossos da perna,"Na fratura do terço proximal da tíbia na criança, a direção do desvio tardio e a estrutura anatômica interposta mais frequentemente observadas são respectivamente",varo e trato iliotibial.,valgo e trato iliotibial.,varo e pata de ganso.,valgo e pata de ganso.,D,valgo e pata de ganso.,CAMPBELL'S,"Tecidos moles, como a pata de ganso, interpõem-se entre os fragmentos, impedindo uma redução adequada e a consolidação completa da fratura, o que causa uma estimulação exagerada da fise no lado medial da tíbia, resultando em supercrescimento e deformidade em valgo.",,False
fc9de2f2-8161-4343-b761-8f3d7933e977,TARO 2023,Cirurgia do Quadril,Fraturas do Colo do Fêmur ,A fratura do colo femoral é mais comumente associada às fraturas de membros,"superiores, principalmente terço distal do rádio e terço proximal do úmero, e a mortalidade maior ocorre quando associada ao úmero.","superiores, principalmente terço distal do rádio e terço proximal do úmero, e a mortalidade maior ocorre quando associada ao rádio.","inferiores, principalmente diáfise femoral e terço proximal da tíbia, e a mortalidade maior ocorre quando associada à tíbia.","inferiores, principalmente diáfise femoral e terço proximal da tíbia, e a mortalidade maior ocorre quando associada à diáfise femoral.",A,"superiores, principalmente terço distal do rádio e terço proximal do úmero, e a mortalidade maior ocorre quando associada ao úmero.",ROCKWOOD'S,"Elas estão mais comumente associadas a fraturas do membro superior, principalmente fraturas do rádio distal e fraturas do úmero proximal. Pacientes com fraturas do úmero proximal concomitantes tiveram uma taxa de mortalidade mais alta.",,False
7662c897-c74e-4635-b820-363dc4062ad1,TARO 2024,Cirurgia do Quadril,Fraturas periprotéticas do quadril,A fratura periprotética de quadril tipo B2 de VANCOUVER corresponde à fratura,"ao nível da haste femoral, com prótese estável e bom estoque ósseo.","ao nivel da haste femoral, com prótese instável e bom estoque ósseo.","abaixo do nível da haste femoral, com prótese estável e bom estoque ósseo.","ao nível da haste femoral, com prótese estável e estoque ósseo comprometido.",B,"ao nivel da haste femoral, com prótese instável e bom estoque ósseo.",ROCKWOOD'S,"O gabarito correto é a letra B. A classificação de Vancouver é utilizada para fraturas periprotéticas de fêmur em pacientes com prótese total de quadril. O tipo B corresponde a fraturas na diáfise femoral ao nível da haste protética.  As fraturas tipo B são subdivididas em B1 (prótese estável), B2 (prótese instável e bom estoque ósseo) e B3 (prótese instável e mau estoque ósseo).  A alternativa A descreve uma fratura tipo B1. A alternativa C descreve uma fratura tipo C. A alternativa D descreve, parcialmente, uma fratura tipo B3, mas a localização da fratura ainda seria ao nível da haste.
",,False
2aec8df7-d48a-4b65-b33d-dfe3cb1b840d,TARO 2022,Ortopedia Pediátrica,Sindactilia e polidactilia,A sindactilia da mão deve ser operada mais precocemente quando acomete o,III e IV para evitar recorrência.,III e IV para evitar deformidade angular.,IV e V para evitar recorrência.,IV e V para evitar deformidade angular.,D,IV e V para evitar deformidade angular.,CAMPBELL'S,"Quando dedos de tamanhos diferentes estão completamente envolvidos (como entre o anelar e o mínimo - IV e V), a separação precoce, entre 6 e 12 meses de idade, é melhor devido à probabilidade de deformidades angulares, rotacionais e de flexão.",,False
81500558-de0b-4308-83e0-5c8799d43dc8,TARO 2021,Cirurgia do Quadril,Vias de acesso do quadril,"No acesso posterior ao quadril, a estrutura vascular que deve ser preservada para manutenção da viabilidade da cabeça femoral é o ramo",transverso da artéria circunflexa lateral.,transverso da artéria circunflexa medial.,ascendente da artéria circunflexa medial.,descendente da artéria circunflexa lateral.,C,ascendente da artéria circunflexa medial.,CAMPBELL'S,"Se a viabilidade da cabeça femoral for necessária, a artéria circunflexa femoral medial e seus ramos ascendentes devem ser protegidos.",,False
f0f066f6-5bd7-4753-8e66-3cca327fc2b6,TARO 2022,Cirurgia do Quadril,Exame Físico do Quadril,"Na semiologia do quadril, o teste ativo do músculo piriforme é realizado com o paciente promovendo força contra resistência de",adução e rotação lateral.,adução e rotação medial,abdução e rotação lateral,adução e rotação medial,C,abdução e rotação lateral,OSVANDRÉ,"O teste ativo do músculo piriforme é realizado com o paciente promovendo força contra a resistência de abdução e rotação externa do quadril, sendo o teste positivo quando apresenta dor local e fraqueza.",,False
4e165cdc-6ddb-4e55-bd46-a4f958b34de5,TARO 2018,Cirurgia do Quadril,Artroplastias do quadril,"Na artroplastia total do quadril, o uso de cabeças com diâmetros maiores",reduz o arco de movimento e a estabilidade.,amplia o arco de movimento e a estabilidade.,amplia o arco de movimento e reduz a estabilidade.,reduz o arco de movimento e aumenta a estabilidade.,B,amplia o arco de movimento e a estabilidade.,CAMPBELL'S,"Para um determinado diâmetro de colo, o uso de uma cabeça femoral maior aumenta a relação cabeça-colo e a amplitude de movimento... a ""distância de salto"" é a distância que a cabeça deve percorrer para escapar... e é geralmente aproximada como metade do diâmetro da cabeça (maior cabeça, maior estabilidade).",,False
2d397432-28be-4649-afdb-7db9c9ff8e6c,TEOT 2022,Cirurgia do Quadril,Fraturas Subtrocanterianas,"Na fratura subtrocanteriana, a classificação de RUSSEL-TAYLOR tem como foco o desvio do traço de fratura com extensão para",fossa piriforme e envolvimento do grande trocanter.,diáfise femoral e envolvimento do grande trocanter.,fossa piriforme e envolvimento do pequeno trocanter.,diáfise femoral e envolvimento do pequeno trocanter.,C,fossa piriforme e envolvimento do pequeno trocanter.,ROCKWOOD'S,"O gabarito C está correto. A classificação de Russel-Taylor para fraturas subtrocanterianas leva em consideração a extensão do traço principal de fratura, sendo o tipo I quando se estende para a fossa piriforme e envolve o pequeno trocanter, o tipo II quando se estende para a diáfise e envolve o pequeno trocanter e o tipo III quando a fratura se inicia abaixo do pequeno trocanter e se estende para a diáfise.  Lembrar que fraturas subtrocanterianas são fraturas localizadas entre 5cm abaixo do pequeno trocanter até a borda superior da fossa trocantérica.  As alternativas A, B e D descrevem padrões que não se encaixam na classificação de Russel-Taylor. Importante destacar que a classificação de Russel-Taylor é menos utilizada que a classificação de Seinsheimer na prática clínica.
",,False
c82fbaf6-6fe9-4239-96b6-63534ad0dca9,TARO 2022,Ortopedia Pediátrica,Fraturas da coluna na criança,A SCIWORA é mais frequente em,"crianças, na coluna cervical.","crianças, na coluna lombar.","adolescentes, na coluna cervical.","adolescentes, na coluna lombar.",A,"crianças, na coluna cervical.",ROCKWOOD'S PED,SCIWORA (Lesão da medula espinhal sem anormalidade radiográfica) é uma condição única em crianças. É hipotetizada como sendo relacionada a uma lesão grave de flexão-distração da coluna cervical.,,False
5a1e8fe8-185d-484c-937a-8d3f95012e85,TARO 2022,Cirurgia do Quadril,Fraturas do acetábulo,"Na fratura do acetábulo, em relação à medida do arco acetabular (ângulo de MATTA) podemos afirmar que",deve ser avaliada em radiografias com tração.,a parede posterior deve ser avaliada em separado.,medidas maiores que 45° indicam tratamento cirúrgico.,está indicada para avaliar fraturas de ambas as colunas,B,a parede posterior deve ser avaliada em separado.,SIZÍNIO,"A parede posterior deve ser avaliada em separado, pois essa área está fora do arco de Matta. As medidas do arco do teto são úteis para a maioria das fraturas, exceto para aquelas de ambas as colunas e da coluna posterior.",,False
853863a2-5398-432a-903e-e79a326c74fe,BANCO PRÓPRIO,Cirurgia do Ombro e Cotovelo,Outras síndromes compressivas dos membros superiores,A síndrome compressiva do nervo mediano está associada à ruptura,do cabo longo do bíceps braquial.,total do tendão distal do bíceps braquial.,parcial do tendão distal do bíceps braquial.,do tendão conjunto (coracobraquial e cabeça curta do bíceps braquial).,B,total do tendão distal do bíceps braquial.,CAMPBELL'S,"O gabarito B está correto. A síndrome compressiva do nervo mediano no cotovelo, também conhecida como síndrome do pronador redondo, pode ocorrer após ruptura total do tendão distal do bíceps. Isso acontece porque, com a perda da função do bíceps, o paciente frequentemente compensa com o uso excessivo dos músculos pronadores, o que pode levar à hipertrofia ou contratura desses músculos e consequente compressão do nervo mediano no interior do pronador redondo.  As demais alternativas não se associam a esta síndrome. A ruptura do cabo longo do bíceps, por exemplo, não afeta diretamente a função do bíceps no cotovelo e, portanto, não leva à compensação pelos pronadores.  Rupturas parciais do distal do bíceps também não costumam causar essa compensação, mantendo a função principal do bíceps.  Por fim, o tendão conjunto não tem relação anatômica ou funcional com o nervo mediano no cotovelo.
",,False
a2ae9ac5-9679-4ca5-895e-298cf69ae7e5,TARO 2018,Ortopedia Pediátrica,Osteocondrite dissecante do joelho,A osteocondrite dissecante do joelho é mais frequente em,meninos e no côndilo femoral medial.,meninos e no côndilo femoral lateral.,meninas e no côndilo femoral medial.,meninas e no côndilo femoral lateral.,A,meninos e no côndilo femoral medial.,SIZÍNIO,É mais vista em crianças e adolescentes ativos ou atletas... sendo mais comum em meninos... Mais de 70% das lesões da ODJ do joelho são encontradas na região posterolateral do côndilo femoral medial.,,False
072ac4e1-4ca3-4bed-aeb9-913d75c3d965,TEOT 2025,Cirurgia da Mão,Fraturas de Monteggia na Criança,A fratura de MONTEGGIA tipo 2 na classificação de BADO que ocorre na junção da metáfise com a diáfise da ulna é subclassificada como tipo,2A.,2B.,2C.,2D.,B,2B.,ROCKWOOD'S,"O gabarito correto é a letra B. As fraturas de Monteggia são lesões complexas que envolvem fratura da ulna e luxação da cabeça do rádio. A classificação de Bado divide essas fraturas em quatro tipos, sendo o tipo II o mais comum em crianças.  A subclassificação do tipo II, proposta por Letts e cols., leva em consideração a localização da fratura da ulna:  2A - fratura da ulna proximal ao processo coronóide; 2B - fratura da ulna na junção da metáfise com a diáfise (como descrito no enunciado); 2C - fratura da ulna distal ao processo coronóide; e 2D - fratura da ulna com luxação anterior do rádio e fratura do processo coronóide.  As outras alternativas, portanto, descrevem localizações diferentes da fratura da ulna. Lembrem-se que o reconhecimento preciso do tipo de fratura é crucial para o planejamento cirúrgico e obtenção de bons resultados funcionais.
",,False
1ddb55cf-62d0-4b4f-a059-fad9b2aaefa7,TARO 2016,Cirurgia do Quadril,Fraturas do acetábulo,"Na fratura do acetábulo que acomete a parede anterior, a transmissão da energia do trauma se dá pelo eixo","do colo femoral, com o quadril em rotação lateral.","do colo femoral, com o quadril em rotação medial.","da diáfise femoral, com o quadril em rotação lateral.","da diáfise femoral, com o quadril em rotação medial.",A,"do colo femoral, com o quadril em rotação lateral.",ROCKWOOD'S,A tabela de força aplicada e posição do quadril versus padrão de fratura indica que a fratura da parede anterior ocorre com uma força ao longo do eixo do colo femoral e rotação externa de 50 graus.,,False
82a4acc1-66e2-4c86-a14f-bec5f86aeb90,TEOT 2023,Cirurgia do Quadril,Exame Físico do Quadril,"Na semiologia do quadril, os testes utilizados para avaliar dor no músculo piriforme são",ELY e PHELPS.,PACE e PHELPS.,ELY e FREIBERG.,PACE e FREIBERG.,D,PACE e FREIBERG.,OSVANDRÉ,"Gabarito **D**. Os testes de Pace e Freiberg são utilizados para avaliar a síndrome do piriforme. O teste de Pace é realizado com o paciente sentado, com o quadril e joelho fletidos a 90 graus. O examinador realiza rotação externa resistida e rotação interna passiva do quadril.  Dor na região glútea durante esses movimentos sugere síndrome do piriforme. O teste de Freiberg  é realizado com o paciente em decúbito ventral, com o joelho fletido a 90 graus. O examinador realiza rotação interna passiva do quadril. A reprodução da dor na região glútea é sugestiva de síndrome do piriforme.  O teste de Ely avalia contratura do reto femoral e o teste de Phelps avalia contratura em abdução do quadril.
",,False
cdb4d07e-f7c9-408f-beff-c99d4cfd4694,TEOT 2021,Cirurgia do Quadril,Coxa saltans,O mecanismo de ressalto interno do quadril acontece quando o tendão do,iliopsoas atrita com a eminência iliopectínea ou a cabeça femoral.,iliopsoas atrita com a eminência iliopectínea ou o trocânter menor.,reto femoral atrita com a eminência iliopectínea ou a cabeça femoral.,reto femoral atrita com a eminência iliopectínea ou o trocânter menor.,A,iliopsoas atrita com a eminência iliopectínea ou a cabeça femoral.,CAMPBELL'S,"Gabarito: A. O ressalto interno do quadril, na coxa saltans interna, ocorre quando o tendão iliopsoas se move sobre a eminência iliopectínea, cabeça femoral ou, menos comumente, a borda anterior do acetábulo.  Durante a flexão do quadril, o tendão do iliopsoas situa-se lateralmente à eminência iliopectínea.  Com a extensão do quadril, o tendão se move medialmente, e esse movimento sobre a eminência iliopectínea pode causar o ressalto. As demais alternativas estão incorretas, pois o reto femoral não participa do mecanismo do ressalto interno. O trocânter menor também não está envolvido neste tipo de ressalto.
",,False
5e6ab7b2-a1ad-4490-af1a-22259970bc0e,TARO 2018,Cirurgia da Mão,Fraturas de Monteggia na Criança,"A fratura-luxação de MONTEGGIA no adulto, segundo a classificação de BADO, o tipo mais comum é o",I.,II.,III.,IV.,A,I.,EFFORT,O padrão mais comum é uma fratura da diáfise da ulna associada a uma luxação anterior da cabeça do rádio (Tipo I de Bado).,,False
